x,y,label
59.0,138.0,0.0
60.0,138.0,0.0
72.0,130.0,0.0
78.0,128.0,0.0
87.0,126.0,0.0
97.0,125.0,0.0
113.0,124.0,0.0
149.0,124.0,0.0
176.0,126.0,0.0
179.0,126.0,0.0
181.0,127.0,0.0
186.0,132.0,0.0
188.0,134.0,0.0
191.0,140.0,0.0
194.0,153.0,0.0
195.0,158.0,0.0
195.0,195.0,0.0
193.0,207.0,0.0
177.0,253.0,0.0
173.0,261.0,0.0
147.0,298.0,0.0
123.0,318.0,0.0
115.0,321.0,0.0
111.0,322.0,0.0
108.0,322.0,0.0
108.0,320.0,0.0
106.0,299.0,0.0
106.0,270.0,0.0
108.0,255.0,0.0
116.0,237.0,0.0
131.0,216.0,0.0
134.0,214.0,0.0
137.0,212.0,0.0
137.0,212.0,0.0
301.0,148.0,1.0
309.0,144.0,1.0
313.0,143.0,1.0
318.0,141.0,1.0
352.0,130.0,1.0
359.0,130.0,1.0
389.0,126.0,1.0
407.0,127.0,1.0
412.0,131.0,1.0
414.0,136.0,1.0
414.0,145.0,1.0
414.0,148.0,1.0
407.0,174.0,1.0
386.0,208.0,1.0
381.0,214.0,1.0
355.0,234.0,1.0
328.0,236.0,1.0
313.0,232.0,1.0
310.0,229.0,1.0
305.0,218.0,1.0
305.0,201.0,1.0
308.0,193.0,1.0
320.0,182.0,1.0
333.0,171.0,1.0
337.0,170.0,1.0
338.0,170.0,1.0
339.0,171.0,1.0
292.0,267.0,2.0
302.0,271.0,2.0
330.0,288.0,2.0
338.0,298.0,2.0
343.0,316.0,2.0
341.0,333.0,2.0
314.0,362.0,2.0
306.0,368.0,2.0
246.0,391.0,2.0
194.0,396.0,2.0
158.0,394.0,2.0
151.0,390.0,2.0
148.0,386.0,2.0
150.0,375.0,2.0
154.0,365.0,2.0
175.0,348.0,2.0
218.0,340.0,2.0
227.0,340.0,2.0
253.0,347.0,2.0
262.0,355.0,2.0
262.0,356.0,2.0
261.0,363.0,2.0
253.0,368.0,2.0
243.0,372.0,2.0
218.0,381.0,2.0
350.0,57.0,3.0
359.0,60.0,3.0
369.0,65.0,3.0
375.0,70.0,3.0
376.0,71.0,3.0
377.0,77.0,3.0
377.0,79.0,3.0
373.0,91.0,3.0
370.0,94.0,3.0
342.0,119.0,3.0
294.0,143.0,3.0
285.0,145.0,3.0
273.0,147.0,3.0
245.0,147.0,3.0
233.0,142.0,3.0
231.0,141.0,3.0
226.0,133.0,3.0
226.0,132.0,3.0
226.0,118.0,3.0
233.0,104.0,3.0
234.0,100.0,3.0
249.0,85.0,3.0
252.0,83.0,3.0
257.0,79.0,3.0
258.0,78.0,3.0
261.0,77.0,3.0
261.0,77.0,3.0
261.0,81.0,3.0
261.0,82.0,3.0
450.0,336.0,4.0
451.0,336.0,4.0
451.0,336.0,4.0
451.0,336.0,4.0
452.0,337.0,4.0
454.0,342.0,4.0
455.0,348.0,4.0
455.0,353.0,4.0
454.0,364.0,4.0
451.0,370.0,4.0
432.0,391.0,4.0
415.0,402.0,4.0
391.0,419.0,4.0
381.0,425.0,4.0
343.0,443.0,4.0
339.0,445.0,4.0
330.0,447.0,4.0
310.0,449.0,4.0
309.0,449.0,4.0
308.0,448.0,4.0
306.0,447.0,4.0
317.0,420.0,4.0
321.0,414.0,4.0
337.0,394.0,4.0
371.0,369.0,4.0
380.0,365.0,4.0
392.0,363.0,4.0
410.0,364.0,4.0
415.0,368.0,4.0
416.0,370.0,4.0
415.0,378.0,4.0
414.0,380.0,4.0
408.0,390.0,4.0
405.0,393.0,4.0
386.0,409.0,4.0
383.0,411.0,4.0
365.0,418.0,4.0
360.0,419.0,4.0
354.0,420.0,4.0
347.0,420.0,4.0
64.0,307.0,5.0
63.0,309.0,5.0
60.0,315.0,5.0
59.0,320.0,5.0
57.0,329.0,5.0
55.0,337.0,5.0
53.0,353.0,5.0
53.0,377.0,5.0
57.0,408.0,5.0
59.0,412.0,5.0
71.0,431.0,5.0
74.0,434.0,5.0
86.0,440.0,5.0
93.0,441.0,5.0
104.0,438.0,5.0
108.0,436.0,5.0
116.0,429.0,5.0
123.0,422.0,5.0
128.0,414.0,5.0
128.0,411.0,5.0
128.0,407.0,5.0
128.0,401.0,5.0
126.0,401.0,5.0
123.0,402.0,5.0
117.0,407.0,5.0
97.0,423.0,5.0
85.0,432.0,5.0
62.0,451.0,5.0
52.0,465.0,5.0
50.0,469.0,5.0
48.0,472.0,5.0
48.0,474.0,5.0
48.0,475.0,5.0
48.0,475.0,5.0
50.0,474.0,5.0
